SampleID,Diversidad_Shannon,Firmicutes_%,Bacteroidetes_%,Actinobacteria_%,Proteobacteria_%,F_B_ratio
9079.113005,2.201781005,21.52133052,0.509768184,14.65512331,62.29708948,42.21787709
8202.113024,3.92315978,46.41041814,2.20754647,36.77512707,10.66671614,21.02352941
12382.12597,2.258602264,38.03064557,1.878924893,57.08615926,2.215523738,20.24064171
000015179.fixed9,3.723313849,46.75403406,14.36747794,22.66024784,14.89703129,3.254157359
000015180.fixed143,4.412799118,50.68086772,19.96868627,22.89610844,4.402463896,2.538017126
000015221.fixed216,3.478018771,26.64108719,8.469578695,23.52429735,36.77396186,3.145503236
000015849.fixed13,2.273027837,40.19633394,53.00147685,1.924246373,0.234558249,0.758400262
000014797.fixed802,4.029898554,64.30358632,34.42749911,0.446800906,0.685094722,1.867797197
7131.10757,4.476905414,34.68509584,6.405659147,12.68852958,24.11005346,5.41475827
7121.107568,3.429906362,29.11413027,2.006107356,19.92430212,41.09962719,14.51274788
7129.107567,4.23153047,44.05891851,7.225844928,11.26327101,27.81187935,6.097407148
2180.10764,3.779583939,92.89645918,4.411643892,2.645343265,0.027384506,21.05710739
3126.107628,2.782744047,75.2822194,22.61775895,2.007237188,0.092784462,3.328456174
5363.105394,3.700069471,22.14186311,2.222409649,19.71703285,51.82811116,9.962998102
5555.105386,3.590014386,36.90535526,4.022447435,20.93924794,30.44433368,9.174850849
5065.105374,3.696725886,48.72310525,2.539251793,34.76691219,11.2158364,19.1879771
3299.105377,0.955349947,6.495881166,0.57117005,89.72459424,3.046240268,11.37293729
5088.105371,3.3617985,44.56146442,3.236695407,29.67420867,11.86273942,13.76758045
2027.105392,4.058099884,58.40307819,32.51233669,7.399839134,0.271733223,1.796335919
5235.105387,3.553591711,29.29205626,2.345407402,35.44825961,27.74416595,12.48911223
5291.105389,3.251371197,43.82299287,1.636168732,15.01325861,9.173828823,26.78390805
5570.105376,3.711916589,36.86859305,3.375947849,26.30334555,14.25531556,10.92096048
3339.105375,4.591829178,35.21479065,6.672104405,14.93746601,27.87928222,5.27791361
2088.10539,2.900422167,16.01930164,1.346872763,63.66094864,16.80409364,11.89370079
5569.105377,3.694920487,32.13414495,4.003374142,36.65731938,11.51540022,8.026765376
4689.105372,2.826446227,74.8347173,8.949066483,11.17311049,4.683450574,8.362293144
5574.105381,2.512100179,56.08082509,0.524100189,34.37381604,4.99473795,107.0040161
3105.105387,3.303897124,34.66629756,1.381618683,35.6427421,9.683913831,25.09107468
6743.105373,4.368987999,87.20957622,10.04946573,0.937921583,0.458253924,8.67803111
5086.105384,2.973244096,51.39691927,1.668358565,26.91441938,8.094628592,30.80687831
5290.105387,2.92208024,60.79354293,1.14357691,8.95470441,6.7222434,53.16086957
1986.10538,1.948407624,64.87202118,0.357571231,14.72605065,18.78380519,181.4240506
5166.105383,4.11291809,37.92159081,2.857738219,19.92379365,26.59184949,13.26979167
5081.105377,3.157693609,44.98761438,1.878907369,36.22668217,15.74237905,23.94349776
5419.10539,3.509390003,50.25812107,2.474066137,20.32338187,9.730677446,20.31397638
5067.105389,2.518862085,34.12210128,1.062864805,58.88744281,5.306436346,32.1038961
4846.105376,3.468712009,52.13135459,3.666719293,19.02233975,13.33280707,14.21743811
4984.105391,3.09237866,23.40153453,2.492443618,12.29481516,55.39641944,9.388992537
3167.105388,2.973584925,53.14139977,2.800529697,39.16572662,4.235126784,18.97548161
5160.105383,3.574806942,45.94914252,6.859846245,33.31046718,11.43228859,6.698275862
5236.10539,3.25859559,42.28378523,2.764976959,35.53745579,14.23748794,15.29263566
5361.105382,3.581039398,50.70539984,3.408723473,8.355882303,34.91601572,14.87518722
4238.105381,2.261210963,20.03648156,0.502634779,19.76489664,51.30117552,39.86290323
5222.105387,3.564141075,50.37816799,11.68561192,19.54973683,12.65204122,4.311127933
5262.105376,3.467712155,29.17545137,1.019664967,37.18327136,21.24813125,28.61278195
4924.105383,1.270212919,41.81101012,0.167209741,51.80715143,6.051706397,250.0512821
5261.105377,3.988214444,33.032688,1.390245304,16.97880163,29.2037686,23.76033058
4206.105373,4.843368056,53.29794398,8.984669017,9.386760686,12.69658915,5.932098765
3701.105372,2.478419066,57.69918203,0.792732931,17.91324095,23.52755641,72.78514589
5431.10538,4.451789054,42.96853184,5.53538825,32.27365482,14.44742777,7.762514552
5079.10538,2.937617427,37.71383748,3.044211159,43.4284093,13.12649165,12.38870614
5161.105386,2.480173497,54.79777783,6.521692138,33.11428633,3.166814379,8.402386477
5083.105375,3.384029346,41.94502546,2.567027952,35.14398597,17.93116562,16.3399177
